Year,Ammunition,Region,Value
2015,,,204326
2016,,,177757
2017,,,280276
2018,,,273167
2019,,,206918
2020,,,182582
2015,1_am_cartridges,,202142
2016,1_am_cartridges,,174954
2017,1_am_cartridges,,278238
2018,1_am_cartridges,,271141
2019,1_am_cartridges,,204899
2020,1_am_cartridges,,179186
2015,2_am_grenades,,2099
2016,2_am_grenades,,2698
2017,2_am_grenades,,1935
2018,2_am_grenades,,1918
2019,2_am_grenades,,1889
2020,2_am_grenades,,1228
2015,3_am_mines,,26
2016,3_am_mines,,61
2017,3_am_mines,,57
2018,3_am_mines,,48
2019,3_am_mines,,84
2020,3_am_mines,,24
2015,4_am_devic,,59
2016,4_am_devic,,44
2017,4_am_devic,,46
2018,4_am_devic,,60
2019,4_am_devic,,46
2020,4_am_devic,,124
2015,,11_reg_Vinnytsya,3982
2016,,11_reg_Vinnytsya,6624
2017,,11_reg_Vinnytsya,5909
2018,,11_reg_Vinnytsya,12284
2019,,11_reg_Vinnytsya,12436
2020,,11_reg_Vinnytsya,7006
2015,1_am_cartridges,11_reg_Vinnytsya,3952
2016,1_am_cartridges,11_reg_Vinnytsya,6584
2017,1_am_cartridges,11_reg_Vinnytsya,5893
2018,1_am_cartridges,11_reg_Vinnytsya,12247
2019,1_am_cartridges,11_reg_Vinnytsya,12423
2020,1_am_cartridges,11_reg_Vinnytsya,6988
2015,2_am_grenades,11_reg_Vinnytsya,29
2016,2_am_grenades,11_reg_Vinnytsya,39
2017,2_am_grenades,11_reg_Vinnytsya,16
2018,2_am_grenades,11_reg_Vinnytsya,36
2019,2_am_grenades,11_reg_Vinnytsya,13
2020,2_am_grenades,11_reg_Vinnytsya,18
2015,3_am_mines,11_reg_Vinnytsya,1
2016,3_am_mines,11_reg_Vinnytsya,
2017,3_am_mines,11_reg_Vinnytsya,
2018,3_am_mines,11_reg_Vinnytsya,1
2019,3_am_mines,11_reg_Vinnytsya,
2020,3_am_mines,11_reg_Vinnytsya,
2015,4_am_devic,11_reg_Vinnytsya,
2016,4_am_devic,11_reg_Vinnytsya,1
2017,4_am_devic,11_reg_Vinnytsya,
2018,4_am_devic,11_reg_Vinnytsya,
2019,4_am_devic,11_reg_Vinnytsya,
2020,4_am_devic,11_reg_Vinnytsya,
2015,,12_reg_Volyn,1536
2016,,12_reg_Volyn,2392
2017,,12_reg_Volyn,5351
2018,,12_reg_Volyn,4581
2019,,12_reg_Volyn,2461
2020,,12_reg_Volyn,5316
2015,1_am_cartridges,12_reg_Volyn,1508
2016,1_am_cartridges,12_reg_Volyn,1664
2017,1_am_cartridges,12_reg_Volyn,5312
2018,1_am_cartridges,12_reg_Volyn,4555
2019,1_am_cartridges,12_reg_Volyn,2440
2020,1_am_cartridges,12_reg_Volyn,5074
2015,2_am_grenades,12_reg_Volyn,28
2016,2_am_grenades,12_reg_Volyn,713
2017,2_am_grenades,12_reg_Volyn,31
2018,2_am_grenades,12_reg_Volyn,26
2019,2_am_grenades,12_reg_Volyn,20
2020,2_am_grenades,12_reg_Volyn,232
2015,3_am_mines,12_reg_Volyn,
2016,3_am_mines,12_reg_Volyn,15
2017,3_am_mines,12_reg_Volyn,8
2018,3_am_mines,12_reg_Volyn,
2019,3_am_mines,12_reg_Volyn,
2020,3_am_mines,12_reg_Volyn,10
2015,4_am_devic,12_reg_Volyn,
2016,4_am_devic,12_reg_Volyn,
2017,4_am_devic,12_reg_Volyn,
2018,4_am_devic,12_reg_Volyn,
2019,4_am_devic,12_reg_Volyn,1
2020,4_am_devic,12_reg_Volyn,
2015,,13_reg_Dnipropetrovsk,43122
2016,,13_reg_Dnipropetrovsk,10419
2017,,13_reg_Dnipropetrovsk,27831
2018,,13_reg_Dnipropetrovsk,21941
2019,,13_reg_Dnipropetrovsk,21774
2020,,13_reg_Dnipropetrovsk,23838
2015,1_am_cartridges,13_reg_Dnipropetrovsk,42751
2016,1_am_cartridges,13_reg_Dnipropetrovsk,10320
2017,1_am_cartridges,13_reg_Dnipropetrovsk,27620
2018,1_am_cartridges,13_reg_Dnipropetrovsk,21697
2019,1_am_cartridges,13_reg_Dnipropetrovsk,21498
2020,1_am_cartridges,13_reg_Dnipropetrovsk,23696
2015,2_am_grenades,13_reg_Dnipropetrovsk,339
2016,2_am_grenades,13_reg_Dnipropetrovsk,98
2017,2_am_grenades,13_reg_Dnipropetrovsk,208
2018,2_am_grenades,13_reg_Dnipropetrovsk,237
2019,2_am_grenades,13_reg_Dnipropetrovsk,262
2020,2_am_grenades,13_reg_Dnipropetrovsk,135
2015,3_am_mines,13_reg_Dnipropetrovsk,3
2016,3_am_mines,13_reg_Dnipropetrovsk,
2017,3_am_mines,13_reg_Dnipropetrovsk,2
2018,3_am_mines,13_reg_Dnipropetrovsk,2
2019,3_am_mines,13_reg_Dnipropetrovsk,4
2020,3_am_mines,13_reg_Dnipropetrovsk,1
2015,4_am_devic,13_reg_Dnipropetrovsk,29
2016,4_am_devic,13_reg_Dnipropetrovsk,1
2017,4_am_devic,13_reg_Dnipropetrovsk,1
2018,4_am_devic,13_reg_Dnipropetrovsk,5
2019,4_am_devic,13_reg_Dnipropetrovsk,10
2020,4_am_devic,13_reg_Dnipropetrovsk,6


2015,,14_reg_Donetsk,19780
2016,,14_reg_Donetsk,30997
2017,,14_reg_Donetsk,47498
2018,,14_reg_Donetsk,37417
2019,,14_reg_Donetsk,54489
2020,,14_reg_Donetsk,14330
2015,1_am_cartridges,14_reg_Donetsk,19344
2016,1_am_cartridges,14_reg_Donetsk,30594
2017,1_am_cartridges,14_reg_Donetsk,47187
2018,1_am_cartridges,14_reg_Donetsk,37122
2019,1_am_cartridges,14_reg_Donetsk,54233
2020,1_am_cartridges,14_reg_Donetsk,14243

2015,2_am_grenades,14_reg_Donetsk,428
2016,2_am_grenades,14_reg_Donetsk,395
2017,2_am_grenades,14_reg_Donetsk,305
2018,2_am_grenades,14_reg_Donetsk,283
2019,2_am_grenades,14_reg_Donetsk,249
2020,2_am_grenades,14_reg_Donetsk,84
2015,3_am_mines,14_reg_Donetsk,6
2016,3_am_mines,14_reg_Donetsk,5
2017,3_am_mines,14_reg_Donetsk,3
2018,3_am_mines,14_reg_Donetsk,4
2019,3_am_mines,14_reg_Donetsk,4
2020,3_am_mines,14_reg_Donetsk,
2015,4_am_devic,14_reg_Donetsk,2
2016,4_am_devic,14_reg_Donetsk,3
2017,4_am_devic,14_reg_Donetsk,3
2018,4_am_devic,14_reg_Donetsk,8
